IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
79.137.194.186,443,true,FRA,Europe,Frankfurt,185,0.92
77.221.148.115,443,true,FRA,Europe,Frankfurt,161,0.92
85.192.40.205,443,true,FRA,Europe,Frankfurt,162,0.92
79.137.196.233,443,true,FRA,Europe,Frankfurt,157,0.92
77.73.131.157,443,true,FRA,Europe,Frankfurt,189,0.92
89.19.216.121,443,true,AMS,Europe,Amsterdam,169,0.92
79.137.205.190,443,true,FRA,Europe,Frankfurt,232,0.92
79.137.207.64,443,true,FRA,Europe,Frankfurt,187,0.92
78.153.136.188,443,true,FRA,Europe,Frankfurt,167,0.92
77.221.157.102,443,true,FRA,Europe,Frankfurt,168,0.92
79.137.199.166,443,true,FRA,Europe,Frankfurt,199,0.92
77.221.154.207,443,true,FRA,Europe,Frankfurt,189,0.92
81.19.137.0,443,true,FRA,Europe,Frankfurt,220,0.92
77.221.157.250,443,true,FRA,Europe,Frankfurt,163,0.92
77.105.147.209,443,true,FRA,Europe,Frankfurt,184,0.92
77.105.147.211,443,true,FRA,Europe,Frankfurt,162,0.92
81.22.132.3,443,true,AMS,Europe,Amsterdam,175,0.92
79.137.195.229,443,true,FRA,Europe,Frankfurt,163,0.92
77.105.147.194,443,true,FRA,Europe,Frankfurt,174,0.92
79.137.195.175,443,true,FRA,Europe,Frankfurt,182,0.92
85.192.42.230,443,true,FRA,Europe,Frankfurt,191,0.92
78.153.136.168,443,true,FRA,Europe,Frankfurt,163,0.92
77.221.154.203,443,true,FRA,Europe,Frankfurt,187,0.92
77.105.146.230,443,true,FRA,Europe,Frankfurt,1174,0.92
85.192.63.32,443,true,FRA,Europe,Frankfurt,168,0.92
78.153.136.152,443,true,FRA,Europe,Frankfurt,197,0.92
77.221.157.87,443,true,FRA,Europe,Frankfurt,164,0.92
85.192.42.174,443,true,FRA,Europe,Frankfurt,192,0.92
85.192.41.136,443,true,FRA,Europe,Frankfurt,201,0.92
81.19.137.114,443,true,FRA,Europe,Frankfurt,186,0.91
85.192.60.249,443,true,FRA,Europe,Frankfurt,184,0.91
85.192.60.92,443,true,FRA,Europe,Frankfurt,173,0.91
79.137.194.221,443,true,FRA,Europe,Frankfurt,176,0.91
70.34.246.154,443,true,WAW,Europe,Warsaw,194,0.91
77.221.157.134,443,true,FRA,Europe,Frankfurt,225,0.91
77.221.148.10,443,true,FRA,Europe,Frankfurt,246,0.91
85.192.60.62,443,true,FRA,Europe,Frankfurt,168,0.91
79.137.207.98,443,true,FRA,Europe,Frankfurt,1205,0.91
85.192.60.46,443,true,FRA,Europe,Frankfurt,193,0.91
85.192.60.62,443,true,FRA,Europe,Frankfurt,195,0.91
85.192.42.234,443,true,FRA,Europe,Frankfurt,164,0.91
89.28.236.122,443,true,FRA,Europe,Frankfurt,160,0.91
77.221.154.145,443,true,FRA,Europe,Frankfurt,169,0.91
77.105.147.209,443,true,FRA,Europe,Frankfurt,182,0.91
85.192.29.110,443,true,FRA,Europe,Frankfurt,168,0.91
77.221.155.180,443,true,FRA,Europe,Frankfurt,212,0.91
77.105.147.79,443,true,FRA,Europe,Frankfurt,242,0.91
79.137.194.187,443,true,FRA,Europe,Frankfurt,244,0.91
79.137.197.252,443,true,FRA,Europe,Frankfurt,200,0.91
77.105.146.230,443,true,FRA,Europe,Frankfurt,168,0.91
79.137.204.4,443,true,FRA,Europe,Frankfurt,173,0.91
79.137.197.181,443,true,FRA,Europe,Frankfurt,247,0.91
77.105.147.244,443,true,FRA,Europe,Frankfurt,225,0.91
81.19.137.250,443,true,FRA,Europe,Frankfurt,1211,0.91
